,samples,proportion teratoma_present,proportion teratoma_absent,test_fold_length
1041,"['TCGA-2G-AAGM-01', 'TCGA-2G-AAG7-01', 'TCGA-2G-AAHG-01', 'TCGA-XE-A8H4-01', 'TCGA-2G-AAG8-01', 'TCGA-XY-A9T9-01', 'TCGA-2G-AAKD-01', 'TCGA-2G-AAHA-01', 'TCGA-2G-AAG9-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1042,"['TCGA-2G-AAGG-01', 'TCGA-2G-AAKL-01', 'TCGA-4K-AA1H-01', 'TCGA-W4-A7U2-01', 'TCGA-2G-AAF4-01', 'TCGA-4K-AAAL-01', 'TCGA-YU-A90S-01', 'TCGA-S6-A8JY-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAG8-01']",0.1,0.9,10
1043,"['TCGA-XE-A8H5-01', 'TCGA-2G-AAHL-01', 'TCGA-ZM-AA0F-01', 'TCGA-2G-AAGS-01', 'TCGA-2G-AAGJ-01', 'TCGA-S6-A8JW-01', 'TCGA-ZM-AA0D-01', 'TCGA-VF-A8A9-01', 'TCGA-XE-AAOL-01', 'TCGA-2G-AAF6-01']",0.1,0.9,10
1044,"['TCGA-YU-A94D-01', 'TCGA-YU-A90P-01', 'TCGA-2G-AAGA-01', 'TCGA-2X-A9D6-01', 'TCGA-2G-AAHC-01', 'TCGA-XE-AAO3-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAFL-01', 'TCGA-XE-A9SE-01', 'TCGA-VF-A8A9-01']",0.1,0.9,10
1045,"['TCGA-2G-AAEW-01', 'TCGA-XE-AAOF-01', 'TCGA-4K-AA1H-01', 'TCGA-VF-A8AD-01', 'TCGA-ZM-AA0D-01', 'TCGA-XE-AAOJ-01', 'TCGA-2G-AAFI-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAF1-01']",0.1,0.9,10
1046,"['TCGA-2G-AAEW-01', 'TCGA-XE-AANV-01', 'TCGA-2G-AAKG-05', 'TCGA-W4-A7U2-01', 'TCGA-2G-AAFZ-01', 'TCGA-2G-AAG8-01', 'TCGA-VF-A8AC-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAFN-01', 'TCGA-W4-A7U4-01']",0.1,0.9,10
1047,"['TCGA-2G-AAEW-01', 'TCGA-YU-A90P-01', 'TCGA-YU-A94D-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGE-01', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAKH-01', 'TCGA-2G-AAGW-01']",0.1,0.9,10
1048,"['TCGA-2G-AAH2-01', 'TCGA-2G-AAGJ-01', 'TCGA-XY-A8S2-01', 'TCGA-ZM-AA0N-01', 'TCGA-2G-AAFL-01', 'TCGA-XE-AANR-01', 'TCGA-2G-AAG8-01', 'TCGA-YU-A912-01', 'TCGA-2G-AAFH-01', 'TCGA-ZM-AA06-01']",0.1,0.9,10
1049,"['TCGA-2G-AAG0-01', 'TCGA-2G-AAKL-01', 'TCGA-SO-A8JP-01', 'TCGA-2G-AAGN-01', 'TCGA-4K-AA1I-01', 'TCGA-2G-AAFG-01', 'TCGA-XY-A9T9-01', 'TCGA-2G-AAHL-01', 'TCGA-2G-AAG9-01', 'TCGA-XE-AAOC-01']",0.1,0.9,10
1050,"['TCGA-4K-AA1H-01', 'TCGA-ZM-AA0F-01', 'TCGA-2G-AAGS-01', 'TCGA-2G-AAH0-01', 'TCGA-XY-A8S2-01', 'TCGA-XE-AAOD-01', 'TCGA-ZM-AA0E-01', 'TCGA-XE-AANR-01', 'TCGA-XY-A8S3-01', 'TCGA-2G-AAKD-01']",0.1,0.9,10
1051,"['TCGA-YU-A90Q-01', 'TCGA-SN-A6IS-01', 'TCGA-YU-A90Y-01', 'TCGA-XE-AAO4-01', 'TCGA-XE-A8H1-01', 'TCGA-VF-A8AE-01', 'TCGA-XE-A8H4-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAFG-01', 'TCGA-YU-AA61-01']",0.1,0.9,10
1052,"['TCGA-4K-AA1H-01', 'TCGA-WZ-A7V5-01', 'TCGA-2G-AAGN-01', 'TCGA-2G-AAHC-01', 'TCGA-2G-AAH0-01', 'TCGA-2G-AAGO-01', 'TCGA-XE-AAOD-01', 'TCGA-2G-AAFM-01', 'TCGA-YU-AA61-01', 'TCGA-2G-AAH3-01']",0.1,0.9,10
1053,"['TCGA-2G-AAGT-01', 'TCGA-2G-AAHT-01', 'TCGA-2G-AAG7-01', 'TCGA-2G-AAHP-05', 'TCGA-S6-A8JX-01', 'TCGA-2G-AAHL-01', 'TCGA-2G-AAHA-01', 'TCGA-W4-A7U4-01', 'TCGA-WZ-A7V4-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1054,"['TCGA-SB-A76C-01', 'TCGA-4K-AAAL-01', 'TCGA-2G-AAG7-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAFI-01', 'TCGA-VF-A8AB-01', 'TCGA-S6-A8JX-01', 'TCGA-2G-AAFY-01', 'TCGA-W4-A7U4-01', 'TCGA-2G-AAF1-01']",0.1,0.9,10
1055,"['TCGA-YU-A90Q-01', 'TCGA-2G-AAKG-05', 'TCGA-WZ-A7V5-01', 'TCGA-2G-AAG3-01', 'TCGA-2G-AAGO-01', 'TCGA-YU-A912-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAF8-01', 'TCGA-2G-AAHP-01']",0.1,0.9,10
1056,"['TCGA-YU-A90Q-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAGM-01', 'TCGA-2G-AAGY-05', 'TCGA-2G-AAG5-01', 'TCGA-ZM-AA0H-01', 'TCGA-XE-A8H4-01', 'TCGA-2G-AAG8-01', 'TCGA-2G-AAGZ-01', 'TCGA-VF-A8A9-01']",0.1,0.9,10
1057,"['TCGA-XE-A8H5-01', 'TCGA-4K-AA1H-01', 'TCGA-WZ-A7V5-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAFV-01', 'TCGA-XE-AAOB-01', 'TCGA-4K-AAAL-01', 'TCGA-2G-AAGK-01', 'TCGA-XE-AANR-01', 'TCGA-XE-A9SE-01']",0.1,0.9,10
1058,"['TCGA-4K-AA1H-01', 'TCGA-2G-AAGN-01', 'TCGA-YU-A90Y-01', 'TCGA-S6-A8JW-01', 'TCGA-2G-AAGY-05', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAFM-01', 'TCGA-XY-A9T9-01', 'TCGA-S6-A8JX-01', 'TCGA-2G-AAL5-01']",0.1,0.9,10
1059,"['TCGA-YU-A94D-01', 'TCGA-WZ-A8D5-01', 'TCGA-2G-AAF4-01', 'TCGA-VF-A8AE-01', 'TCGA-2G-AAH8-01', 'TCGA-VF-A8AC-01', 'TCGA-XY-A8S3-01', 'TCGA-2G-AAF8-01', 'TCGA-2G-AAG9-01', 'TCGA-2G-AAKH-01']",0.1,0.9,10
1060,"['TCGA-YU-A90Q-01', 'TCGA-XE-AAOF-01', 'TCGA-2G-AAGA-01', 'TCGA-YU-AA4L-01', 'TCGA-2G-AAGM-01', 'TCGA-YU-A94I-01', 'TCGA-YU-A90S-01', 'TCGA-2G-AAH8-01', 'TCGA-XE-AAOJ-01', 'TCGA-W4-A7U4-01']",0.1,0.9,10
1061,"['TCGA-4K-AA1H-01', 'TCGA-WZ-A7V5-01', 'TCGA-YU-A90Y-01', 'TCGA-W4-A7U2-01', 'TCGA-2G-AAGT-01', 'TCGA-2G-AAH2-01', 'TCGA-2G-AAHT-01', 'TCGA-VF-A8AC-01', 'TCGA-2G-AAFH-01', 'TCGA-S6-A8JX-01']",0.1,0.9,10
1062,"['TCGA-YU-A94D-01', 'TCGA-SO-A8JP-01', 'TCGA-4K-AA1H-01', 'TCGA-XE-AAO3-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAF4-01', 'TCGA-VF-A8AA-01', 'TCGA-YU-A912-01', 'TCGA-2G-AAF8-01', 'TCGA-2G-AAF1-01']",0.1,0.9,10
1063,"['TCGA-XE-AANV-01', 'TCGA-XE-AANJ-01', 'TCGA-SN-A6IS-01', 'TCGA-2G-AAGK-01', 'TCGA-S6-A8JY-01', 'TCGA-2G-AAH8-01', 'TCGA-XE-A8H4-01', 'TCGA-VF-A8AB-01', 'TCGA-YU-AA61-01', 'TCGA-2G-AAL7-01']",0.1,0.9,10
1064,"['TCGA-2G-AAG0-01', 'TCGA-2G-AAHC-01', 'TCGA-X3-A8G4-01', 'TCGA-XY-A8S2-01', 'TCGA-ZM-AA0E-01', 'TCGA-XE-AANR-01', 'TCGA-2G-AAFM-01', 'TCGA-4K-AA1I-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAHP-01']",0.1,0.9,10
1065,"['TCGA-YU-A90Q-01', 'TCGA-2G-AAKG-05', 'TCGA-2G-AAFH-01', 'TCGA-ZM-AA0N-01', 'TCGA-VF-A8AA-01', 'TCGA-2G-AAH8-01', 'TCGA-2G-AAGX-01', 'TCGA-2G-AAKD-01', 'TCGA-2G-AAG9-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1066,"['TCGA-2G-AAEW-01', 'TCGA-XE-AANJ-01', 'TCGA-2G-AAGI-05', 'TCGA-4K-AAAL-01', 'TCGA-VF-A8AE-01', 'TCGA-2G-AAH8-01', 'TCGA-WZ-A7V3-01', 'TCGA-XE-AAOD-01', 'TCGA-2G-AAHA-01', 'TCGA-2G-AAGP-01']",0.1,0.9,10
1067,"['TCGA-WZ-A7V5-01', 'TCGA-W4-A7U2-01', 'TCGA-2G-AAHN-01', 'TCGA-2G-AAGM-01', 'TCGA-XE-A8H1-01', 'TCGA-2G-AAG5-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAFY-01', 'TCGA-SB-A6J6-01']",0.1,0.9,10
1068,"['TCGA-SO-A8JP-01', 'TCGA-2G-AAG3-01', 'TCGA-2G-AAF4-01', 'TCGA-ZM-AA0H-01', 'TCGA-WZ-A7V3-01', 'TCGA-2G-AAFL-01', 'TCGA-XE-AAOD-01', 'TCGA-S6-A8JX-01', 'TCGA-2G-AAG9-01', 'TCGA-2G-AAF6-01']",0.1,0.9,10
1069,"['TCGA-XE-A8H5-01', 'TCGA-YU-A90Q-01', 'TCGA-2G-AAH0-01', 'TCGA-2G-AAEX-01', 'TCGA-2G-AAF4-01', 'TCGA-W4-A7U3-01', 'TCGA-2G-AAFM-01', 'TCGA-2X-A9D5-01', 'TCGA-XE-AAOL-01', 'TCGA-2G-AAF6-01']",0.1,0.9,10
1070,"['TCGA-2G-AAEW-01', 'TCGA-ZM-AA0B-01', 'TCGA-2G-AAGI-05', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOJ-01', 'TCGA-ZM-AA0H-01', 'TCGA-XE-A9SE-01', 'TCGA-XY-A8S3-01', 'TCGA-2X-A9D6-01', 'TCGA-VF-A8A8-01']",0.1,0.9,10
1071,"['TCGA-2G-AAGN-01', 'TCGA-2G-AAG3-01', 'TCGA-2G-AAF4-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAH8-01', 'TCGA-4K-AA1I-01', 'TCGA-2X-A9D5-01', 'TCGA-2G-AAHL-01', 'TCGA-2G-AAL7-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1072,"['TCGA-2G-AAG0-01', 'TCGA-2G-AAEW-01', 'TCGA-YU-A90Q-01', 'TCGA-2X-A9D6-01', 'TCGA-XE-A8H1-01', 'TCGA-XE-AAOD-01', 'TCGA-2G-AAG6-01', 'TCGA-2G-AAFH-01', 'TCGA-VF-A8A9-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1073,"['TCGA-2G-AAEW-01', 'TCGA-2G-AAGG-01', 'TCGA-ZM-AA0F-01', 'TCGA-2X-A9D6-01', 'TCGA-4K-AA1G-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAHP-05', 'TCGA-SB-A6J6-01', 'TCGA-2G-AAHP-01']",0.1,0.9,10
1074,"['TCGA-XE-AANJ-01', 'TCGA-2G-AAHC-01', 'TCGA-XE-AAO3-01', 'TCGA-2G-AAHT-01', 'TCGA-ZM-AA0N-01', 'TCGA-XY-A89B-01', 'TCGA-2G-AAGC-01', 'TCGA-VF-A8AB-01', 'TCGA-2G-AAKH-01', 'TCGA-ZM-AA06-01']",0.1,0.9,10
1075,"['TCGA-YU-A90Q-01', 'TCGA-XE-AANJ-01', 'TCGA-2G-AAGI-05', 'TCGA-2G-AAH0-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAKD-01', 'TCGA-2G-AAH3-01', 'TCGA-2G-AAF1-01', 'TCGA-ZM-AA06-01', 'TCGA-SN-A84W-01']",0.1,0.9,10
1076,"['TCGA-XE-AANV-01', 'TCGA-4K-AA1H-01', 'TCGA-XE-AAO3-01', 'TCGA-SB-A76C-01', 'TCGA-WZ-A8D5-01', 'TCGA-ZM-AA0D-01', 'TCGA-YU-AA61-01', 'TCGA-2G-AAHA-01', 'TCGA-WZ-A7V4-01', 'TCGA-2G-AAF6-01']",0.1,0.9,10
1077,"['TCGA-ZM-AA0B-01', 'TCGA-YU-A94I-01', 'TCGA-2G-AAHG-01', 'TCGA-XY-A89B-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAFM-01', 'TCGA-XE-A8H4-01', 'TCGA-2G-AAF8-01', 'TCGA-WZ-A7V4-01', 'TCGA-2G-AAKG-01']",0.1,0.9,10
1078,"['TCGA-SO-A8JP-01', 'TCGA-ZM-AA05-01', 'TCGA-2G-AAHC-01', 'TCGA-2G-AAGI-05', 'TCGA-2G-AAG6-01', 'TCGA-WZ-A7V3-01', 'TCGA-2G-AAFM-01', 'TCGA-XE-AANR-01', 'TCGA-2G-AAKD-01', 'TCGA-2G-AAG9-01']",0.1,0.9,10
1079,"['TCGA-YU-A90Y-01', 'TCGA-2G-AAGI-05', 'TCGA-ZM-AA0N-01', 'TCGA-ZM-AA06-01', 'TCGA-2G-AAHP-05', 'TCGA-2G-AAG6-01', 'TCGA-XE-AAOD-01', 'TCGA-2G-AAHA-01', 'TCGA-2G-AAG9-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1080,"['TCGA-2G-AAG0-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAHN-01', 'TCGA-ZM-AA06-01', 'TCGA-VF-A8AE-01', 'TCGA-2G-AAHP-05', 'TCGA-ZM-AA0E-01', 'TCGA-2X-A9D5-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAKG-01']",0.1,0.9,10
1081,"['TCGA-2G-AAGM-01', 'TCGA-SB-A76C-01', 'TCGA-2G-AAHT-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAHP-05', 'TCGA-S6-A8JY-01', 'TCGA-2G-AAGE-01', 'TCGA-2G-AAGF-01', 'TCGA-XE-AAOL-01', 'TCGA-VF-A8A8-01']",0.1,0.9,10
1082,"['TCGA-YU-A90Q-01', 'TCGA-XE-AAOF-01', 'TCGA-2G-AAHN-01', 'TCGA-2G-AALP-01', 'TCGA-2G-AAGJ-01', 'TCGA-SB-A76C-01', 'TCGA-S6-A8JY-01', 'TCGA-VF-A8AB-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAHA-01']",0.1,0.9,10
1083,"['TCGA-XE-AAOF-01', 'TCGA-ZM-AA0B-01', 'TCGA-XE-AAO4-01', 'TCGA-2G-AAGI-05', 'TCGA-YU-A94I-01', 'TCGA-2G-AAGO-01', 'TCGA-ZM-AA0N-01', 'TCGA-ZM-AA0H-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAGY-01']",0.1,0.9,10
1084,"['TCGA-W4-A7U2-01', 'TCGA-YU-AA4L-01', 'TCGA-2G-AAL5-01', 'TCGA-4K-AA1G-01', 'TCGA-YU-A912-01', 'TCGA-2G-AAFI-01', 'TCGA-SN-A84Y-01', 'TCGA-XY-A9T9-01', 'TCGA-W4-A7U4-01', 'TCGA-WZ-A7V4-01']",0.1,0.9,10
1085,"['TCGA-YU-A94D-01', 'TCGA-W4-A7U2-01', 'TCGA-2G-AAFV-01', 'TCGA-S6-A8JY-01', 'TCGA-ZM-AA0H-01', 'TCGA-2G-AAG8-01', 'TCGA-VF-A8AA-01', 'TCGA-2G-AAF8-01', 'TCGA-2G-AAHL-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1086,"['TCGA-YU-A90Q-01', 'TCGA-W4-A7U2-01', 'TCGA-2G-AAGJ-01', 'TCGA-4K-AAAL-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAFN-01']",0.1,0.9,10
1087,"['TCGA-XE-AAOF-01', 'TCGA-2G-AAKG-05', 'TCGA-XE-AAO4-01', 'TCGA-2G-AAEX-01', 'TCGA-XY-A89B-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAGZ-01', 'TCGA-XY-A8S3-01', 'TCGA-2G-AAH3-01']",0.1,0.9,10
1088,"['TCGA-ZM-AA0B-01', 'TCGA-SO-A8JP-01', 'TCGA-XE-AAO4-01', 'TCGA-2G-AAHN-01', 'TCGA-2G-AALP-01', 'TCGA-4K-AA1G-01', 'TCGA-2G-AAFG-01', 'TCGA-2G-AAFY-01', 'TCGA-YU-A90W-01', 'TCGA-2G-AAL7-01']",0.1,0.9,10
1089,"['TCGA-XE-AANJ-01', 'TCGA-XY-A8S2-01', 'TCGA-WZ-A8D5-01', 'TCGA-2G-AAH8-01', 'TCGA-ZM-AA0H-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAF8-01', 'TCGA-2G-AAGP-01', 'TCGA-2G-AAHA-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1090,"['TCGA-2G-AAG0-01', 'TCGA-XE-A8H5-01', 'TCGA-4K-AA1G-01', 'TCGA-YU-A94I-01', 'TCGA-SB-A76C-01', 'TCGA-2G-AAG5-01', 'TCGA-2G-AAFM-01', 'TCGA-XY-A8S3-01', 'TCGA-2X-A9D6-01', 'TCGA-2G-AAKH-01']",0.1,0.9,10
1091,"['TCGA-2G-AAG0-01', 'TCGA-YU-A90Q-01', 'TCGA-2G-AAGN-01', 'TCGA-ZM-AA0F-01', 'TCGA-XE-AAO3-01', 'TCGA-2G-AAG7-01', 'TCGA-VF-A8AC-01', 'TCGA-4K-AA1I-01', 'TCGA-2G-AAFG-01', 'TCGA-YU-A90W-01']",0.1,0.9,10
1092,"['TCGA-ZM-AA0B-01', 'TCGA-2G-AAG7-01', 'TCGA-2G-AAHG-01', 'TCGA-S6-A8JY-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAG8-01', 'TCGA-VF-A8AB-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAFH-01', 'TCGA-W4-A7U4-01']",0.1,0.9,10
1093,"['TCGA-2G-AAGN-01', 'TCGA-XE-AAO4-01', 'TCGA-2G-AAF1-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAF4-01', 'TCGA-YU-A90S-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAFI-01', 'TCGA-2G-AAG9-01', 'TCGA-SN-A84W-01']",0.1,0.9,10
1094,"['TCGA-2G-AAGN-01', 'TCGA-2G-AAHC-01', 'TCGA-XE-AANI-01', 'TCGA-SB-A76C-01', 'TCGA-2G-AAHT-01', 'TCGA-ZM-AA0H-01', 'TCGA-XE-AAOD-01', 'TCGA-YU-A90W-01', 'TCGA-2G-AAHA-01', 'TCGA-ZM-AA06-01']",0.1,0.9,10
1095,"['TCGA-YU-A90Y-01', 'TCGA-SN-A84X-01', 'TCGA-XE-AAO3-01', 'TCGA-2G-AAHG-01', 'TCGA-YU-A912-01', 'TCGA-XE-AANR-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAFN-01', 'TCGA-2G-AAKD-01', 'TCGA-2G-AAL7-01']",0.1,0.9,10
1096,"['TCGA-2G-AAEW-01', 'TCGA-ZM-AA05-01', 'TCGA-SN-A84X-01', 'TCGA-YU-AA4L-01', 'TCGA-2G-AAEX-01', 'TCGA-2G-AAGO-01', 'TCGA-ZM-AA06-01', 'TCGA-2G-AAFL-01', 'TCGA-4K-AA1I-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1097,"['TCGA-YU-A90Q-01', 'TCGA-YU-A90Y-01', 'TCGA-SB-A76C-01', 'TCGA-2G-AAHT-01', 'TCGA-2G-AAF4-01', 'TCGA-2G-AAG7-01', 'TCGA-XY-A89B-01', 'TCGA-XE-AAOL-01', 'TCGA-2G-AAF6-01', 'TCGA-2G-AAHP-01']",0.1,0.9,10
1098,"['TCGA-YU-A90Q-01', 'TCGA-2G-AAHN-01', 'TCGA-2G-AAL5-01', 'TCGA-S6-A8JW-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAFM-01', 'TCGA-XE-A8H4-01', 'TCGA-XE-AAOD-01', 'TCGA-WZ-A7V4-01', 'TCGA-2G-AAHP-01']",0.1,0.9,10
1099,"['TCGA-2G-AAG0-01', 'TCGA-XE-AAOF-01', 'TCGA-2G-AAH2-01', 'TCGA-WZ-A8D5-01', 'TCGA-2G-AAF4-01', 'TCGA-2G-AAHG-01', 'TCGA-VF-A8AA-01', 'TCGA-2G-AAH8-01', 'TCGA-XY-A9T9-01', 'TCGA-2G-AAL7-01']",0.1,0.9,10
1100,"['TCGA-YU-A94D-01', 'TCGA-4K-AA1H-01', 'TCGA-ZM-AA05-01', 'TCGA-VF-A8AD-01', 'TCGA-2G-AAGJ-01', 'TCGA-SB-A76C-01', 'TCGA-2G-AAHT-01', 'TCGA-2G-AAFO-01', 'TCGA-2G-AAL7-01', 'TCGA-W4-A7U4-01']",0.1,0.9,10
1101,"['TCGA-2G-AAGA-01', 'TCGA-YU-A90Y-01', 'TCGA-4K-AA1G-01', 'TCGA-ZM-AA0N-01', 'TCGA-YU-A912-01', 'TCGA-2G-AAFM-01', 'TCGA-YU-AA61-01', 'TCGA-YU-A90W-01', 'TCGA-2G-AAF1-01', 'TCGA-2G-AAGW-01']",0.1,0.9,10
1102,"['TCGA-2G-AAKL-01', 'TCGA-2G-AAKG-05', 'TCGA-XE-AANJ-01', 'TCGA-2G-AAGJ-01', 'TCGA-VF-A8AC-01', 'TCGA-4K-AA1I-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAH4-01', 'TCGA-VF-A8A9-01', 'TCGA-2G-AAGY-01']",0.1,0.9,10
1103,"['TCGA-2G-AAG0-01', 'TCGA-2G-AAGV-01', 'TCGA-4K-AA1H-01', 'TCGA-ZM-AA0F-01', 'TCGA-SB-A76C-01', 'TCGA-ZM-AA0D-01', 'TCGA-XE-A9SE-01', 'TCGA-2G-AAKD-01', 'TCGA-W4-A7U4-01', 'TCGA-2G-AAHP-01']",0.1,0.9,10
1104,"['TCGA-ZM-AA0F-01', 'TCGA-XE-AAO4-01', 'TCGA-SB-A76C-01', 'TCGA-XY-A8S2-01', 'TCGA-W4-A7U3-01', 'TCGA-VF-A8AA-01', 'TCGA-2G-AAFM-01', 'TCGA-XE-A9SE-01', 'TCGA-VF-A8AB-01', 'TCGA-2G-AAFN-01']",0.1,0.9,10
1105,"['TCGA-2G-AAG0-01', 'TCGA-VF-A8AA-01', 'TCGA-ZM-AA0E-01', 'TCGA-2G-AAFM-01', 'TCGA-XE-A9SE-01', 'TCGA-VF-A8AC-01', 'TCGA-2G-AAGC-01', 'TCGA-2G-AAHL-01', 'TCGA-2G-AAHA-01', 'TCGA-S6-A8JX-01']",0.1,0.9,10
1106,"['TCGA-2G-AAKG-05', 'TCGA-YU-AA4L-01', 'TCGA-2G-AAFZ-01', 'TCGA-YU-A94I-01', 'TCGA-WZ-A8D5-01', 'TCGA-VF-A8AA-01', 'TCGA-VF-A8AC-01', 'TCGA-2G-AAGZ-01', 'TCGA-2G-AAHL-01', 'TCGA-VF-A8A8-01']",0.1,0.9,10
1107,"['TCGA-4K-AA1H-01', 'TCGA-2G-AAFV-01', 'TCGA-2G-AAGM-01', 'TCGA-XY-A89B-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAFI-01', 'TCGA-2G-AAFJ-01', 'TCGA-2G-AAHL-01', 'TCGA-2G-AAH3-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1108,"['TCGA-SN-A6IS-01', 'TCGA-ZM-AA0F-01', 'TCGA-2G-AAH0-01', 'TCGA-4K-AA1G-01', 'TCGA-2G-AAGO-01', 'TCGA-YU-A90S-01', 'TCGA-XE-AAOJ-01', 'TCGA-XE-AAO6-01', 'TCGA-2G-AAHL-01', 'TCGA-ZM-AA06-01']",0.1,0.9,10
1109,"['TCGA-SN-A84X-01', 'TCGA-2G-AAGI-05', 'TCGA-VF-A8AD-01', 'TCGA-2G-AAEX-01', 'TCGA-XE-A8H1-01', 'TCGA-VF-A8AE-01', 'TCGA-YU-A90S-01', 'TCGA-2G-AAGK-01', 'TCGA-2G-AAFG-01', 'TCGA-WZ-A7V4-01']",0.1,0.9,10
1110,"['TCGA-2G-AAG0-01', 'TCGA-2G-AAGI-05', 'TCGA-XE-AANI-01', 'TCGA-4K-AAAL-01', 'TCGA-2G-AAFL-01', 'TCGA-4K-AA1I-01', 'TCGA-SN-A84Y-01', 'TCGA-2G-AAFI-01', 'TCGA-XE-A9SE-01', 'TCGA-2G-AAGW-01']",0.1,0.9,10
1111,"['TCGA-XE-AAO4-01', 'TCGA-2G-AAGJ-01', 'TCGA-W4-A7U3-01', 'TCGA-S6-A8JY-01', 'TCGA-2G-AAGK-01', 'TCGA-4K-AA1I-01', 'TCGA-2X-A9D5-01', 'TCGA-XY-A9T9-01', 'TCGA-XE-AAO6-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1112,"['TCGA-SB-A76C-01', 'TCGA-2G-AAGO-01', 'TCGA-2G-AAHT-01', 'TCGA-S6-A8JY-01', 'TCGA-2G-AAFM-01', 'TCGA-2G-AAG8-01', 'TCGA-2X-A9D6-01', 'TCGA-2G-AAGV-01', 'TCGA-2G-AAF1-01', 'TCGA-VF-A8A8-01']",0.1,0.9,10
1113,"['TCGA-2G-AAG0-01', 'TCGA-YU-A90P-01', 'TCGA-2G-AAKG-05', 'TCGA-4K-AA1H-01', 'TCGA-2G-AAG7-01', 'TCGA-2G-AAHP-05', 'TCGA-2G-AAFL-01', 'TCGA-XE-A8H4-01', 'TCGA-YU-A912-01', 'TCGA-W4-A7U4-01']",0.1,0.9,10
1114,"['TCGA-ZM-AA0B-01', 'TCGA-2G-AAKL-01', 'TCGA-2G-AAKG-05', 'TCGA-2G-AALP-01', 'TCGA-YU-A94I-01', 'TCGA-2G-AAFL-01', 'TCGA-2G-AAH4-01', 'TCGA-2G-AAFG-01', 'TCGA-WZ-A7V4-01', 'TCGA-XE-AAOL-01']",0.1,0.9,10
1115,"['TCGA-W4-A7U2-01', 'TCGA-2G-AAHG-01', 'TCGA-2G-AAHP-05', 'TCGA-2G-AAL7-01', 'TCGA-WZ-A7V3-01', 'TCGA-XE-A8H4-01', 'TCGA-XE-A9SE-01', 'TCGA-XY-A8S3-01', 'TCGA-2G-AAHA-01', 'TCGA-2G-AAGV-01']",0.1,0.9,10
